Store Number,Convenience,Shopping,Specialty,Unsought,Other,Percentage Investment
5111,13673,1784,10207,1682,13876,13.9
5111,7457,913,5958,586,7240,22.7
5111,7457,913,5958,586,7240,13.9
5111,6008,940,4504,564,5702,22.7
5111,6008,940,4504,564,5702,13.9
5111,19484,2301,15695,1488,15871,22.7
5111,19484,2301,15695,1488,15871,13.9
5111,6013,1113,3260,1640,5761,22.7
5111,6013,1113,3260,1640,5761,13.9
5113,8363,1668,5996,699,8317,23.4
5113,8363,1668,5996,699,8317,7.5
5113,18622,2803,13463,2356,19134,23.4
5113,18622,2803,13463,2356,19134,7.5
5113,12964,1711,9972,1281,12149,23.4
5113,12964,1711,9972,1281,12149,7.5
5115,10669,1135,8535,999,17511,17.5
5115,10669,1135,8535,999,17511,9.2
5115,17431,1244,14755,1432,22070,17.5
5115,17431,1244,14755,1432,22070,9.2
5115,6207,777,4868,562,5875,17.5
5115,6207,777,4868,562,5875,9.2
5115,16151,1166,13341,1644,15362,17.5
5115,16151,1166,13341,1644,15362,9.2
5115,62420,5624,46637,10159,59594,17.5
5115,62420,5624,46637,10159,59594,9.2
5117,5997,624,4700,673,6037,17.8
5117,5997,624,4700,673,6037,11.7
5117,6739,696,5071,972,6821,17.8
5117,6739,696,5071,972,6821,11.7
5119,357442,35368,272678,49396,351596,17.2
5119,357442,35368,272678,49396,351596,9.6
5119,118230,12212,93953,12065,162597,17.2
5119,118230,12212,93953,12065,162597,9.6
5119,219695,17728,170159,31808,211217,17.2
5119,219695,17728,170159,31808,211217,9.6
5121,5330,688,4179,463,6605,18.9
5121,5330,688,4179,463,6605,13.8
5121,18377,1992,14594,1791,17043,18.9
5121,18377,1992,14594,1791,17043,13.8
5123,33334,7099,23770,2465,32815,31.6
5123,33334,7099,23770,2465,32815,7.8
5123,7475,676,6164,635,6880,31.6
5123,7475,676,6164,635,6880,7.8
5125,16302,1026,14028,1248,18394,8.7
5125,16302,1026,14028,1248,18394,22.8
5125,50860,3412,41745,5703,49398,8.7
5125,50860,3412,41745,5703,49398,22.8
5125,85232,5572,70729,8931,86637,8.7
5125,85232,5572,70729,8931,86637,22.8
5127,16648,2845,12386,1417,19960,19.7
5127,16648,2845,12386,1417,19960,25.1
5127,8850,930,6786,1134,8071,19.7
5127,8850,930,6786,1134,8071,25.1
5131,162698,21783,123421,17494,157176,16.9
5131,162698,21783,123421,17494,157176,13.3
5131,38881,2413,31298,5170,43298,16.9
5131,38881,2413,31298,5170,43298,13.3
5131,12384,1006,9339,2039,9167,16.9
5131,12384,1006,9339,2039,9167,13.3
5131,9128,771,7186,1171,8313,16.9
5131,9128,771,7186,1171,8313,13.3
5133,24278,3447,19003,1828,23004,20.8
5133,24278,3447,19003,1828,23004,9.9
5133,9048,1160,7123,765,8314,20.8
5133,9048,1160,7123,765,8314,9.9
5133,9672,4068,3494,2110,9363,20.8
5133,9672,4068,3494,2110,9363,9.9
5135,13625,1677,10757,1191,12781,21.3
5135,13625,1677,10757,1191,12781,16.3
5135,15054,2071,11323,1660,15296,21.3
5135,15054,2071,11323,1660,15296,16.3
5137,16588,2193,12849,1546,15729,21.8
5137,16588,2193,12849,1546,15729,20.8
5139,44029,5731,33290,5008,42590,19.3
5139,6491,617,4129,1745,9803,19.3
5139,7405,493,5630,1282,8950,19.3
5139,17824,1198,11233,5393,16429,19.3
5139,4594,699,3304,591,5663,19.3
5141,15649,1687,11436,2526,15554,16.7
5141,15649,1687,11436,2526,15554,7
5141,4994,526,3549,919,5513,16.7
5141,4994,526,3549,919,5513,7
5141,9340,658,6564,2118,7758,16.7
5141,9340,658,6564,2118,7758,7
5143,11336,928,9029,1379,12471,15.8
5143,11336,928,9029,1379,12471,7.9
5143,23549,1768,19115,2666,23044,15.8
5143,23549,1768,19115,2666,23044,7.9
5143,125138,9041,88864,27233,111389,15.8
5143,125138,9041,88864,27233,111389,7.9
5143,9120,1218,6729,1173,9669,15.8
5143,9120,1218,6729,1173,9669,7.9
5143,14476,2290,10739,1447,15932,15.8
5143,14476,2290,10739,1447,15932,7.9
5143,19433,1376,15722,2335,20848,15.8
5143,19433,1376,15722,2335,20848,7.9
5143,248500,33981,191876,22643,261034,15.8
5143,248500,33981,191876,22643,261034,7.9
5143,10784,932,8881,971,10148,15.8
5143,10784,932,8881,971,10148,7.9
5143,5219,1129,2738,1352,4843,15.8
5143,5219,1129,2738,1352,4843,7.9
5145,13507,1724,9946,1837,13859,15.7
5145,13507,1724,9946,1837,13859,12.6
5145,32513,2945,25560,4008,31462,15.7
5145,32513,2945,25560,4008,31462,12.6
5145,4949,657,3849,443,5294,15.7
5145,4949,657,3849,443,5294,12.6
5145,7906,827,6045,1034,8675,15.7
5145,7906,827,6045,1034,8675,12.6
5145,15157,2395,11390,1372,15237,15.7
5145,15157,2395,11390,1372,15237,12.6
5145,8828,696,6507,1625,9374,15.7
5145,8828,696,6507,1625,9374,12.6
5145,9003,815,6756,1432,8690,15.7
5145,9003,815,6756,1432,8690,12.6
5145,41472,3501,31915,6056,36259,15.7
5145,41472,3501,31915,6056,36259,12.6
5145,5634,1762,2635,1237,5893,15.7
5145,5634,1762,2635,1237,5893,12.6
5147,5260,954,3643,663,5388,26.3
5147,5260,954,3643,663,5388,9.8
5147,7590,1141,5561,888,6899,26.3
5147,7590,1141,5561,888,6899,9.8
5149,9398,1437,7360,601,10396,18
5149,9398,1437,7360,601,10396,18.2
5149,21063,2468,17077,1518,20243,18
5149,21063,2468,17077,1518,20243,18.2
5149,4888,747,3670,471,4713,18
5149,4888,747,3670,471,4713,18.2
5149,9766,1845,7063,858,8910,18
5149,9766,1845,7063,858,8910,18.2
6101,41622,7113,23593,10916,41068,17.1
6101,4914,283,3352,1279,4838,17.1
6101,1739,115,1208,416,1636,17.1
6101,4120,112,2530,1478,6016,17.1
6101,4681,215,3372,1094,4632,17.1
6101,25630,1770,18974,4886,23868,17.1
6101,2917,71,1898,948,2551,17.1
6101,1726,179,912,635,1768,17.1
6101,2913,21,2504,388,2681,17.1
6101,2151,90,1505,556,1871,17.1
6101,8456,291,5643,2522,7763,17.1
6101,161096,12357,108738,40001,139992,17.1
6101,2827,125,1684,1018,2372,17.1
6103,28241,4865,14913,8463,25735,20.9
6103,8666,545,6191,1930,7698,20.9
6103,25253,2589,18873,3791,23978,20.9
6103,13462,1221,8316,3925,12882,20.9
6103,279,48,147,84,236,20.9
6103,12752,823,8686,3243,11027,20.9
6103,441,41,305,95,352,20.9
6103,5304,481,4012,811,4836,20.9
6103,1039,62,858,119,947,20.9
6103,3335,292,2216,827,3127,20.9
6103,25547,2858,18276,4413,22527,20.9
6103,20175,1683,10637,7855,20958,20.9
6103,1490,164,1045,281,1394,20.9
6103,2612,165,2011,436,2325,20.9
6103,7662,670,5244,1748,7621,20.9
6105,7842,2104,3905,1833,7318,21.3
6105,1612,160,1068,384,1557,21.3
6105,282,28,199,55,282,21.3
6105,2484,357,1705,422,2067,21.3
6105,5610,751,2989,1870,5419,21.3
6105,1261,217,800,244,1205,21.3
6105,1141,172,534,435,1224,21.3
6105,336,30,210,96,270,21.3
6105,9599,1226,4737,3636,9167,21.3
6105,2935,273,1615,1047,3428,21.3
6107,217216,58285,118710,40221,215425,24.7
6107,1225,124,1000,101,1188,24.7
6107,8179,588,6977,614,10938,24.7
6107,7391,1106,6047,238,6808,24.7
6107,2682,161,2278,243,2791,24.7
6107,51361,3826,43052,4483,46892,24.7
6107,0,0,0,0,144,24.7
6107,2177,129,1830,218,1948,24.7
6107,2310,253,1761,296,2147,24.7
6107,26881,4427,19947,2507,26851,24.7
6107,36688,2657,25349,8682,34356,24.7
6107,35401,4984,27495,2922,31840,24.7
6107,396,60,233,103,249,24.7
6107,6160,856,4678,626,5118,24.7
6107,67483,13071,46321,8091,59967,24.7
6107,5501,644,4537,320,4782,24.7
6107,6345,588,5430,327,6344,24.7
6107,62327,7521,48262,6544,57225,24.7
6107,1202,108,919,175,971,24.7
6107,6594,694,5279,621,6264,24.7
6107,14966,1724,11255,1987,21381,24.7
6107,7072,759,5824,489,9347,24.7
6107,12195,1127,10067,1001,11253,24.7
6107,3996,292,3402,302,3372,24.7
6107,1098,66,931,101,1045,24.7
6107,3655,173,2911,571,3564,24.7
6107,3241,231,1806,1204,4646,24.7
6107,10649,210,10007,432,9403,24.7
6107,10658,1169,8556,933,9663,24.7
6107,8514,527,6781,1206,7335,24.7
6107,4523,528,3544,451,4122,24.7
6107,12422,1371,9521,1530,11060,24.7
6107,1466,123,594,749,1169,24.7
6107,7812,552,6132,1128,7007,24.7
6107,3142,401,2230,511,2718,24.7
6107,113659,10955,89450,13254,108393,24.7
6107,78113,5611,53750,18752,70292,24.7
6107,343414,26651,251160,65603,344343,24.7
6107,2828,225,2279,324,2353,24.7
6107,32698,3431,23558,5709,30089,24.7
6107,6780,1021,5338,421,6736,24.7
6107,83626,8128,67201,8297,75340,24.7
6107,199447,22063,147633,29751,183578,24.7
6109,12035,1987,6199,3849,11484,15.4
6109,1749,122,968,659,1676,15.4
6109,6200,190,1255,4755,5423,15.4
6109,5924,389,3867,1668,5257,15.4
6109,5323,368,1779,3176,5191,15.4
6109,4814,433,2309,2072,4333,15.4
6109,6855,451,3602,2802,6742,15.4
6109,15459,815,4382,10262,23379,15.4
6109,5400,266,3349,1785,4891,15.4
6109,4586,685,2626,1275,4286,15.4
6109,14081,297,8594,5190,11627,15.4
6109,4962,200,1126,3636,4226,15.4
6111,223997,35994,121522,66481,221775,9.8
6111,1294,0,0,1294,1162,9.8
6111,6908,563,4841,1504,6622,9.8
6111,52212,5084,36309,10819,50221,9.8
6111,101688,9113,76861,15714,101793,9.8
6111,8260,413,4020,3827,6540,9.8
6111,76834,3299,42606,30929,72217,9.8
6111,1763,28,1377,358,1433,9.8
6111,31280,1672,12013,17595,27922,9.8
6111,35056,3260,25165,6631,33479,9.8
6111,224170,20395,154540,49235,219914,9.8
6111,219145,12463,130344,76338,223028,9.8
6111,79310,3865,38987,36458,73603,9.8
6111,68309,5208,40147,22954,67154,9.8
6111,560,25,338,197,577,9.8
6111,74819,6110,53294,15415,70666,9.8
6111,204825,9189,114947,80689,210522,9.8
6111,3079,250,685,2144,5120,9.8
6111,211752,17322,113169,81261,200983,9.8
6111,50693,1082,28390,21221,51031,9.8
6111,236714,8431,84749,143534,229295,9.8
6113,43918,11527,19846,12545,42058,19
6113,113626,3297,46489,63840,108026,19
6113,106693,8569,67599,30525,108525,19
6113,19298,1089,12808,5401,19065,19
6113,123629,8734,78182,36713,116007,19
6113,12398,810,7402,4186,12646,19
6115,27877,4977,14304,8596,27088,16.6
6115,5244,191,4691,362,4726,16.6
6115,128524,12696,89670,26158,117487,16.6
6115,14129,659,10499,2971,12618,16.6
6115,17019,2587,12456,1976,17817,16.6
6115,8946,445,5541,2960,8730,16.6
8123,11121,5495,2367,3259,11116,11.5
8123,216442,20667,130576,65199,203471,11.5
8123,21378,579,4004,16795,20736,11.5
8123,26703,987,664,25052,22890,11.5
8123,55070,1869,20102,33099,48655,11.5
8123,32677,1677,19650,11350,30508,11.5
8123,27322,2471,1597,23254,27135,11.5
8123,18231,581,279,17371,16016,11.5
8123,20224,259,222,19743,25606,11.5
8123,10297,486,3296,6515,17064,11.5
8123,3728,54,82,3592,3071,11.5
8123,3439,84,75,3280,2808,11.5
8123,2924,39,83,2802,5491,11.5
8101,172655,26491,102399,43765,171835,19.9
8101,88665,7284,48169,33212,79124,19.9
8101,3657,1023,1702,932,3634,19.9
8103,9309,296,389,8624,8032,9.5
8103,8009,150,3068,4791,6406,9.5
8103,2292,358,476,1458,2292,9.5
8105,5921,532,2506,2883,5458,17.5
8105,11274,961,7252,3061,10844,17.5
8105,4769,196,2603,1970,4405,17.5
8107,6160,87,1609,4464,6223,7.2
8107,5549,232,1504,3813,5615,7.2
8107,31431,551,9645,21235,29436,7.2
8107,4696,2306,1623,767,4698,7.2
8109,8813,1435,5349,2029,8279,27.6
8109,8081,553,5998,1530,7473,27.6
8109,2571,492,1422,657,2449,27.6
8111,1856,196,576,1084,1559,15.5
8113,4245,162,2822,1261,3848,10.1
8113,13387,244,4427,8716,32908,10.1
8115,5742,88,3790,1864,4997,14.8
8115,2934,76,1209,1649,2266,14.8
8117,48871,1222,6480,41169,44511,7.9
8119,7173,1245,317,5611,6588,9.5
8119,23861,1215,11216,11430,21958,9.5
8121,4920,121,2430,2369,4344,14.3
8121,1805,44,1341,420,1581,14.3
8121,3418,58,2191,1169,3028,14.3
8121,2201,52,951,1198,2088,14.3
8121,2007,52,816,1139,1817,14.3
8125,10134,405,4397,5332,9051,12.3
8125,1838,25,635,1178,1583,12.3
8125,8418,685,3751,3982,7541,12.3
8125,3268,103,2026,1139,2740,12.3
12101,698805,72438,374593,251774,776495,13.3
12103,1036722,115587,345107,576028,1084951,13.3
12105,962439,123726,524129,314584,948544,16.4
12107,107021,20238,59200,27583,109942,21.5
12109,368394,17137,132952,218305,349541,7.7
12111,408436,47264,174925,186247,386779,17
12113,251388,22800,136503,92085,244123,10.6
12115,545423,39238,75079,431106,535618,10.8
12117,636054,54132,298229,283693,598175,11.4
12121,57783,10913,32326,14544,60224,20.4
12123,30609,5895,12822,11892,33374,22.5
12125,21295,2618,15544,3133,21099,24.7
12127,624595,66211,269206,289178,568229,14.2
12129,46562,4809,29771,11982,46530,13.1
12131,105354,7286,15371,82697,110680,13.1
13205,2518,621,936,961,2449,29.9
13205,16433,2219,12029,2185,15752,29.9
13205,31672,3642,12056,15974,33060,29.9
13101,9300,1199,5298,2803,9267,23.2
13103,111920,7011,64410,40499,115991,10.3
13105,34374,4029,17142,13203,32416,22.3
13107,42614,6787,25724,10103,41753,27.4
13109,19184,2947,10956,5281,19120,24.4
13111,41235,3028,14025,24182,39854,14.1
13113,231922,8767,97280,125875,232136,6
13115,116386,9574,60193,46619,123771,15.8
13115,64360,9112,29794,25454,63447,15.8
13115,7451,1319,4706,1426,7685,15.8
13117,471715,16236,200339,255140,540691,5.7
13119,37525,3466,18684,15375,37323,21.4
13121,903489,82444,192398,628647,927838,16
13121,1196919,76288,365980,754651,1217111,16
13123,47376,4939,19570,22867,47426,15.2
13123,2851,399,1862,590,3309,15.2
13125,6567,531,4196,1840,6214,18.5
13127,159966,14576,52819,92571,148720,19.1
13129,42598,4092,19110,19396,35241,16.1
13129,70812,6787,38156,25869,64494,16.1
13131,44101,5832,26719,11550,43363,21
13133,35866,4001,7224,24641,35986,18.2
13135,63150,3326,21724,38100,62034,11.3
13135,1893150,142728,919702,830720,1830204,11.3
13137,75416,6465,40391,28560,75674,15.6
13139,82523,8784,40818,32921,76319,13.7
13139,278879,25009,138717,115153,266840,13.7
13141,15543,4647,4482,6414,14543,33.5
13143,22416,1184,13147,8085,25602,18.5
13143,39063,3522,22675,12866,36875,18.5
13145,54730,2838,22818,29074,51970,8.7
13147,41569,3585,20161,17823,46207,17.3
13149,24206,1957,10218,12031,23856,19.7
13151,449744,29344,222236,198164,414712,9.6
13153,300656,26977,160202,113477,290797,14.9
13155,17945,1772,11079,5094,22306,23.6
13157,16745,1364,9730,5651,14968,12.7
13157,81983,6227,35146,40610,76516,12.7
13157,32709,1442,15405,15862,29846,12.7
13159,25646,3695,12540,9411,23518,16.9
13161,31652,4128,20448,7076,28845,23.9
13163,29201,4501,15824,8876,27729,25.2
13165,16879,2493,9284,5102,15481,34.2
13167,12202,2029,6860,3313,11722,29.4
13169,53206,4307,32115,16784,51909,12.3
13171,27716,2513,13322,11881,25594,18.2
13173,18511,2244,12246,4021,18401,22.8
13175,66988,5916,38912,22160,64858,25.6
13175,30481,5682,12214,12585,28967,25.6
13177,59031,3683,32103,23245,57754,11.2
13181,14613,1494,6483,6636,14026,19.1
